n_switches,n_entries_per_switch,operation,mode,n_reps,mean_s,std_s,median_s,p25_s,p75_s,median_entries_per_sec
1,10,insert,sync,10,0.012624694999976782,0.0035628183934555222,0.013437073500426777,0.01077141074983956,0.015483158749702852,745.4680932263902
1,10,read,sync,10,0.0013296171002366464,0.0004066528972932818,0.0011730649994206033,0.0010383235012341174,0.001545085750422004,8532.855697165216
1,100,insert,sync,10,0.053643106800154786,0.006321118383364911,0.05215377200056537,0.050299321500006045,0.05469286124980499,1917.4234333102165
1,100,read,sync,10,0.006176160400355002,0.004805984728618973,0.0046887935013728566,0.0044432902495827875,0.005019136749979225,21344.37722507232
1,1000,insert,sync,10,0.4335115667001446,0.01995351040857787,0.4252911829998993,0.4216825910002626,0.43922249475008357,2351.36653873705
1,1000,read,sync,10,0.04684902899953158,0.0059219317472873866,0.04726544549885148,0.04192636974948982,0.05199505499922452,21264.092646869154
2,10,insert,async,10,0.01906279729973903,0.0031058228723076656,0.019731552500161342,0.018296810999345325,0.020864884749244084,1013.6622082237263
2,10,insert,sync,10,0.020233867499700863,0.005031542676841933,0.02082425400021748,0.01720942674910475,0.024042780250510987,962.1221330102117
2,10,read,async,10,0.0054197264997128515,0.0006818619959993458,0.005350063500372926,0.004805077500805055,0.006010707998939324,3752.8793299818267
2,10,read,sync,10,0.002123658900563896,0.0002095943209041486,0.002106858500155795,0.001965856501556118,0.002204867000273225,9493.907950794946
2,100,insert,async,15,0.06870541806653516,0.003103860699076557,0.0685880449996148,0.06629774399948474,0.07116013250015385,2915.9600627357618
2,100,insert,sync,15,0.10122046573314947,0.01020487764137106,0.10139659100059362,0.09446518349886901,0.10436508349971518,1972.4529003034147
2,100,read,async,15,0.01433037099976294,0.004635456012049335,0.01220722099969862,0.011871981499098183,0.013880011499963985,16383.745326224349
2,100,read,sync,15,0.012374388533453384,0.0061687469324740495,0.009530260000019553,0.008772345000579662,0.011273527499838565,20985.786326877722
2,1000,insert,async,10,0.5795618452995768,0.012474325537249671,0.5810680630002025,0.5727671029999328,0.5882982702491972,3441.9886878019424
2,1000,insert,sync,10,0.8740882877998957,0.014752913248093562,0.8721312489997217,0.8681181232500421,0.878199239749847,2293.2421406529675
2,1000,read,async,10,0.09771310370069841,0.003956316849949608,0.09640785450028488,0.09573235850075434,0.09942570875000456,20745.201176251016
2,1000,read,sync,10,0.0978740022999773,0.0071179415158039785,0.09505048650044046,0.09283164574981129,0.09856507924996549,21044.392685186194
4,10,insert,async,10,0.0251732650998747,0.0025339603529896584,0.025617042999328987,0.024271973250051815,0.02697502950013586,1561.4750976192763
4,10,insert,sync,10,0.027983470900107933,0.003504727353820049,0.027575979500397807,0.026656411750082043,0.02943852699945637,1451.0309888087052
4,10,read,async,10,0.008222670899885997,0.0006177004772612443,0.008276562499304418,0.007645222749943059,0.008687097999882099,4837.895244357892
4,10,read,sync,10,0.003951011299795937,0.00023592593230800112,0.003912545000275713,0.0038027710002097592,0.004010620749340887,10223.562937350138
4,100,insert,async,10,0.11875069430006988,0.0045793518350312565,0.11706749600034527,0.11652791924916528,0.11904581125008917,3416.8392187778286
4,100,insert,sync,10,0.18539701930021693,0.007185716751669971,0.1846856715001195,0.1800729507504002,0.18902451300073153,2165.8427909414568
4,100,read,async,10,0.024001415500242727,0.005482425123480505,0.02154070450069412,0.02128925424949557,0.021740294749633904,18569.505898596155
4,100,read,sync,10,0.020813735499905305,0.005235572877204569,0.018507201999454992,0.01789684850109552,0.019300390250009514,21614.03138320889
4,1000,insert,async,10,1.0922866627000984,0.04232344822590928,1.0778336165003566,1.067082013500567,1.0906422572506926,3711.1593866120365
4,1000,insert,sync,10,1.715735649799899,0.04979995823370789,1.7125530339999386,1.6845543454996914,1.7458004800000708,2335.7189061039126
4,1000,read,async,10,0.192223949900108,0.012031377567033347,0.19481883299977198,0.18438484850048553,0.1970295010000882,20531.900267365483
4,1000,read,sync,10,0.18949794130021475,0.0153437426609608,0.18465651200040156,0.17705065099926287,0.1969602747508361,21663.191443301563
8,10,insert,async,10,0.041082789200117986,0.0037610048941054837,0.04051825100032147,0.03880494550003277,0.04277084949944765,1974.5451999066784
8,10,insert,sync,10,0.04700905629997578,0.005434573830242974,0.04606137149949063,0.04481426724987614,0.04751219675017637,1737.5088349803498
8,10,read,async,10,0.01498388510026416,0.003979729451009369,0.013602548499875411,0.013457037250191206,0.0138832327502314,5881.2538488379305
8,10,read,sync,10,0.007707124900116468,0.0003396041713240845,0.007615323500431259,0.007449256999734644,0.00800468399984311,10506.511768369897
8,100,insert,async,10,0.22225782980040093,0.010204455415590811,0.2202985575004277,0.21670125200080292,0.22523494350070905,3631.437729234788
8,100,insert,sync,10,0.3685566473999643,0.026220392536473378,0.3612996000001658,0.35412219525051114,0.3687184642499233,2214.2856531123907
8,100,read,async,10,0.045577907199731274,0.006250703233591607,0.04256213249936991,0.04119282099964039,0.05023258449955392,18802.33800770018
8,100,read,sync,10,0.04324936879966117,0.007710934898030351,0.043964478499219695,0.03571711599988703,0.04980776899947159,18465.979853125817
8,1000,insert,async,10,2.084609230300157,0.019812348094693236,2.0818977820008513,2.074138500248864,2.098941358749016,3842.6578267122245
8,1000,insert,sync,10,3.447719100699942,0.08449246095681283,3.4426372959997025,3.3877896994995353,3.516946400000961,2323.9413906732198
8,1000,read,async,10,0.42933215010016285,0.01947108406640168,0.42614197049988434,0.41293446999998196,0.4365224134999153,18773.25065153272
8,1000,read,sync,10,0.3802453223002885,0.013836597032078107,0.37797830249928666,0.37327529875074106,0.38511126325056466,21167.486693213443
